"Aukro","Aukro"
"Aukro kategorie:","Aukro kategorie:"
"Connection Name:","Název napojení:"
"Display Duration:","Délka vystavení:"
"Base Unit:","Základní měrná jednotka:"
"Auto Display Setting:","Nastavení automatického vystavení:"
"Shipping and Payment Setting:","Nastavení dopravy a platby:"
"Aukro kategorie Attributes","Aukro atributy kategorie"
"Log #","Log #"
"Operation Date","Datum operace"
"Message Type","Typ zprávy"
"Message","Zpráva"
"Error Message","Chybová zpráva"
"Log","Log"
"Add new attribute","Přidat nová atribut"
"Remove last added attribute","Odebrat naposledy přidaný atribut"
"Action","Akce"
"#","#"
"Attribute","Atribut"
"Prefix","Prefix"
"Constant value","Konstanta"
"Magento attribute","Magento atribut"
"Translate attribute","Přeložit atribut"
"Suffix","Suffix"
"Export parent product<br> attribute value","Exportovat hodnotu<br> nadřazeného produktu"
"Chars limit","Znakový limit"
"Post-process value","Post-process hodnota"
"Delete","Smazat"
"Example: ","příklad: "
"Options: ","Močnosti: "
"From","Od"
"To","Do"
"Save Mapping","Uložit mapování"
"Attributes Mapping Table","Tabulka mapování atributů"
"Attribute #","Atribut #"
"Magento Attribute Name","Název Magento atributu"
"Aukro Attribute Name","Název Aukro atributu"
"Mapped Attributes","Namapované atributy"
"Load Attributes","načti atributy"
"Remove All Attributes","Smazat všechny atributy"
"Save","Uložit"
"Magento kategorie","Magento kategorie"
"Aukro kategorie","Aukro kategorie"
"Connection Name","Název napojení"
"Display Duration","Doba vystavení"
"Auto Display","Automatické vystavení"
"Mapped Categories","Namapované kategorie"
"Check Mapping","Zkontroluj mapování"
"Order #","Objednávka #"
"Purchased On","Objednáno"
"Bill to Name","Faktura na jméno"
"Ship to Name","Doručení na jméno"
"G.T. (Base)","G.T. (Base)"
"G.T. (Purchased)","G.T. (Purchased)"
"Status","Stav"
"View","Pohled"
"Aukro objednávky","Aukro objednávky"
"Refresh objednávky","Refresh objednávky"
"Grid load failed:","Načítání gridu selhalo:"
"ID","ID"
"Name","Název"
"Type","Typ"
"SKU","SKU"
"Price final include tax","Cena včetně DPH"
"Qty","Množství"
"Visibility","Viditelnost"
"kategorie name","Název kategorie"
"Aukrokategorie id","Aukrokategorie id"
"Aukro product id","Aukro product id"
"Edit","Editovat"
"Expose","Vystavit"
"Verify Exposure","Zkontrolovat vystavení"
"Products Exposure","Vystavit produkty"
"Exposing of Products","Vystavení produktů"
"Aukro Update","Aktualizovat"
"Remove","Smazat"
"Exposed Products","Vystavené produkty"
"Purchased From (Store)","Objednáno z (Obchod)"
