"Aukro","Aukro"
"Aukro category:","Aukro category:"
"Connection Name:","Connection Name:"
"Display Duration:","Display Duration:"
"Base Unit:","Base Unit:"
"Auto Display Setting:","Auto Display Setting:"
"Shipping and Payment Setting:","Shipping and Payment Setting:"
"Aukro Category Attributes","Aukro Category Attributes"
"Log #","Log #"
"Operation Date","Operation Date"
"Message Type","Message Type"
"Message","Message"
"Error Message","Error Message"
"Log","Log"
"Add new attribute","Add new attribute"
"Remove last added attribute","Remove last added attribute"
"Action","Action"
"#","#"
"Attribute","Attribute"
"Prefix","Prefix"
"Constant value","Constant value"
"Magento attribute","Magento attribute"
"Translate attribute","Translate attribute"
"Suffix","Suffix"
"Export parent product<br> attribute value","Export parent product<br> attribute value"
"Chars limit","Chars limit"
"Post-process value","Post-process value"
"Delete","Delete"
"Example: ","Example: "
"Options: ","Options: "
"From","From"
"To","To"
"Save Mapping","Save Mapping"
"Attributes Mapping Table","Attributes Mapping Table"
"Attribute #","Attribute #"
"Magento Attribute Name","Magento Attribute Name"
"Aukro Attribute Name","Aukro Attribute Name"
"Mapped attributes","Mapped attributes"
"Load Attributes","Load Attributes"
"Remove All Attributes","Remove All Attributes"
"Save","Save"
"Magento Category","Magento Category"
"Aukro Category","Aukro Category"
"Connection Name","Connection Name"
"Display Duration","Display Duration"
"Auto Display","Auto Display"
"Mapped Categories","Mapped Categories"
"Check Mapping","Check Mapping"
"Order #","Order #"
"Purchased On","Purchased On"
"Bill to Name","Bill to Name"
"Ship to Name","Ship to Name"
"G.T. (Base)","G.T. (Base)"
"G.T. (Purchased)","G.T. (Purchased)"
"Status","Status"
"View","View"
"Aukro Orders","Aukro Orders"
"Refresh Orders","Refresh Orders"
"Grid load failed:","Grid load failed:"
"ID","ID"
"Name","Name"
"Type","Type"
"SKU","SKU"
"Price final include tax","Price final include tax"
"Qty","Qty"
"Visibility","Visibility"
"Category name","Category name"
"Aukrocategory id","Aukrocategory id"
"Aukro product id","Aukro product id"
"Edit","Edit"
"Expose","Expose"
"Verify Exposure","Verify Exposure"
"Products Exposure","Products Exposure"
"Aukro Update","Aukro Update"
"Remove","Remove"
"Exposured Products","Exposured Products"
"Purchased From (Store)","Purchased From (Store)"
"New Order RSS","New Order RSS"
"CSV","CSV"
"Excel XML","Excel XML"
"Cancel","Cancel"
"Hold","Hold"
"Unhold","Unhold"
"Print Invoices","Print Invoices"
"Print Packingslips","Print Packingslips"
"Print Credit Memos","Print Credit Memos"
"Print All","Print All"
"Print Shipping Labels","Print Shipping Labels"
"First Item","First Item"
"Next Item","Next Item"
"Package Quantity","Package Quantity"
"Aukro connector","Aukro connector"
"Attributes Mapping","Attributes Mapping"
"Attributes was loaded successfully.","Attributes was loaded successfully."
"Attributes loading failed: ","Attributes loading failed: "
"All attributes was removed.","All attributes was removed."
"Attributes removing failed: ","Attributes removing failed: "
"Attributes mapping saved.","Attributes mapping saved."
"Attributes mapping save failed: ","Attributes mapping save failed: "
"Categories mapping","Categories mapping"
"Mapovaní kategorií","Mapovaní kategorií"
"Checking mapping completed successfully. Errors count: %s","Checking mapping completed successfully. Errors count: %s"
"Checking mapping failed: ","Checking mapping failed: "
"Orders","Orders"
"Aukro orders","Aukro orders"
"Total of %d order(s) were successfully created from aukro.","Total of %d order(s) were successfully created from aukro."
"Aukro conektor","Aukro conektor"
"Products Exposing","Products Exposing"
"Please select product(s)","Please select product(s)"
"Total of %d products(s) were successfully validated.","Total of %d products(s) were successfully validated."
"Total of %d products(s) were successfully uploaded to aukro.","Total of %d products(s) were successfully uploaded to aukro."
"Total of %d products(s) were successfully removed from aukro.","Total of %d products(s) were successfully removed from aukro."
"Total of %d products(s) were successfully updated on aukro.","Total of %d products(s) were successfully updated on aukro."
"Enabled","Enabled"
"Method Name","Method Name"
"Title","Title"
"Sort Order","Sort Order"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Connection settings","Connection settings"
"Username","Username"
"Password","Password"
"WebAPI key","WebAPI key"
"City","City"
"Zip","Zip"
"Region","Region"
"Country","Country"
"Display settings","Display settings"
"Offer label","Offer label"
"Display duration","Display duration"
"Base unit","Base unit"
"Autodisplay after offer ends","Autodisplay after offer ends"
"Product state","Product state"
"Shipping and payment","Shipping and payment"
"Payment type","Payment type"
"Shipping pricing","Shipping pricing"
"Freeshipping","Freeshipping"
"Shipping payer","Shipping payer"
"Shipping conditions","Shipping conditions"
"Shipping and payment informations","Shipping and payment informations"
"Premium options","Premium options"
"Feeds configuration empty","Feeds configuration empty"
"Server error","Server error"
"Missing important response data","Missing important response data"
"Invalid or empty server response","Invalid or empty server response"
"Your License is not valid","Your License is not valid"
"Please select","Please select"
"Invalid Profile ID","Invalid Profile ID"
"Dot","Dot"
"Comma","Comma"
"Double quotes","Double quotes"
"Quotes","Quotes"
"Empty - no enclosure","Empty - no enclosure"
"Pipe","Pipe"
"Tab","Tab"
"Space","Space"
"Semicolon","Semicolon"
"Slash","Slash"
"Dash","Dash"
"Star","Star"
"Backslash","Backslash"
"Colon","Colon"
"Grid","Grid"
"Ampersand","Ampersand"
"PHP Extension ""%s"" must be loaded","PHP Extension ""%s"" must be loaded"
"Can't open file %s for writing","Can't open file %s for writing"
"Can't download file %s","Can't download file %s"
"The export profile-product relations has been updated.","The export profile-product relations has been updated."
"-- -- -- -- -- -- --","-- -- -- -- -- -- --"
"Re-expose","Re-expose"
"Exposing all","Exposing all"
"Exposing only unsold","Exposing only unsold"
"-- -- --","-- -- --"
"pieces","pieces"
"sets","sets"
"pairs","pairs"
"Bold title","Bold title"
"Highlighting","Highlighting"
"Priority listing","Priority listing"
"Category page","Category page"
"Main page","Main page"
"3","3"
"5","5"
"7","7"
"10","10"
"Personal","Personal"
"Email","Email"
"--Please Select--","--Please Select--"
"Bank transfer (in advance)","Bank transfer (in advance)"
"Payments via PayU","Payments via PayU"
"Others","Others"
"New","New"
"Used","Used"
"Other (enter details below - in the section More information on shipment and payment)","Other (enter details below - in the section More information on shipment and payment)"
"Agrees with sending items abroad","Agrees with sending items abroad"
"Seller","Seller"
"Buyer","Buyer"
"Unable to apply rules.","Unable to apply rules."
"Standard (Y-m-d H:i:s)","Standard (Y-m-d H:i:s)"
"ISO  8601 (Y-m-dTH:i:sO)","ISO  8601 (Y-m-dTH:i:sO)"
"Slash delimiter (Y/m/d H:M)","Slash delimiter (Y/m/d H:M)"
"ATOM,W3C (Y-m-d\TH:i:sP)","ATOM,W3C (Y-m-d\TH:i:sP)"
"COOKIE (l, d-M-y H:i:s T)","COOKIE (l, d-M-y H:i:s T)"
"RFC822 (D, d M Y H:i:s O)","RFC822 (D, d M Y H:i:s O)"
"RSS (D, d M Y H:i:s O)","RSS (D, d M Y H:i:s O)"
"Parents and childs","Parents and childs"
"Parents only","Parents only"
"Childs only","Childs only"
"Standard e.g. 149.99","Standard e.g. 149.99"
"Currency suffix e.g. 149.99 USD","Currency suffix e.g. 149.99 USD"
"Currency prefix e.g. USD 149.99","Currency prefix e.g. USD 149.99"
"Symbol suffix e.g 149.99 US$","Symbol suffix e.g 149.99 US$"
"Symbol prefix e.g US$ 149.99","Symbol prefix e.g US$ 149.99"
"1","1"
"30","30"
"50","50"
"100","100"
"300","300"
"500","500"
"1000","1000"
"2000","2000"
"5000","5000"
"10000","10000"
"20000","20000"
"30000","30000"
"40000","40000"
"50000","50000"
"Stock status & Qty","Stock status & Qty"
"Qty only","Qty only"
"Stock status only","Stock status only"
"Missing input data column %s","Missing input data column %s"
"Unable to open the file %s for reading (%s)","Unable to open the file %s for reading (%s)"
"Missing feed setup attribute '".self::COL_CODE."'","Missing feed setup attribute '".self::COL_CODE."'"
"{$this->_cacheName} cache reload has %s for store %s","{$this->_cacheName} cache reload has %s for store %s"
"Following attributes missing in {$flatCatalogType} flat catalog: %s","Following attributes missing in {$flatCatalogType} flat catalog: %s"
"Attribute with code %s doesn't exist","Attribute with code %s doesn't exist"
"Taxonomy table empty","Taxonomy table empty"
"Aukro categories mapping has been checked. No. of errors found: ","Aukro categories mapping has been checked. No. of errors found: "
"Total of %d order(s) were successfully created from aukro by cron action.","Total of %d order(s) were successfully created from aukro by cron action."
"Total of %d auctions(s) were successfully ended from aukro by cron action.","Total of %d auctions(s) were successfully ended from aukro by cron action."
"XML file doesnt exist","XML file doesnt exist"
"Disabled","Disabled"
"Aukro upload status: ","Aukro upload status: "
"Products: %s Time: %s Memory: %s ","Products: %s Time: %s Memory: %s "
"s","s"
"MB","MB"
"Shipping form was not filled in. Contact customer!","Shipping form was not filled in. Contact customer!"
"%d products was removed.","%d products was removed."
"Exposing products on Aukro","Exposing products on Aukro"
"Add after","Add after"
" "," "
"Quantity","Quantity"
